as.character(comp),Name,Protein_Classification,
Compound_3076,Potassium channel subfamily K member 9,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=CC=CS3)=O)=C2
Compound_3076,Potassium channel subfamily K member 3,Ion_Channel,O=C(C1=CC=CC(C)=C1)NC2=CC=CC(NC(C3=CC=CS3)=O)=C2
Compound_3077,Phosphodiesterase 5A,Hydrolases,O=C(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)O
Compound_3129,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(F)CC3)(=O)=O)C=C2
Compound_3129,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(F)CC3)(=O)=O)C=C2
Compound_3133,Dual specificity protein kinase CLK4,Kinase,BrC1=CC(Br)=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=CC=N2)=C1
Compound_3133,Dual specificty protein kinase CLK1,Kinase,BrC1=CC(Br)=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=CC=N2)=C1
Compound_3133,Dual specificty protein kinase CLK1,Kinase,BrC1=CC(Br)=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=CC=N2)=C1
Compound_3133,Dual specificity protein kinase CLK4,Kinase,BrC1=CC(Br)=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=CC=N2)=C1
Compound_3133,Dual specificty protein kinase CLK1,Kinase,BrC1=CC(Br)=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=CC=N2)=C1
Compound_3144,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(C)CC3)(=O)=O)C=C2
Compound_3144,DNA damage-inducible transcript 3 protein,Other,O=C(C1=CC=C([N+]([O-])=O)O1)NC2=CC=C(S(N3CCC(C)CC3)(=O)=O)C=C2
Compound_3170,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC=C(OC)C=C3)=NN2C(N4CCN(C(C5=CC=CO5)=O)CC4)=C1C
Compound_3173,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=C(OCC)C=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_3173,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=C(OCC)C=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_3173,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=C(OCC)C=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_3173,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=C(OCC)C=CC=C2)=O)=C1)C3=C(C(F)(F)F)C=CC=C3
Compound_3179,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2OC(C)C)=O)=C1)C3=C(OC(F)(F)F)C=CC=C3
Compound_3179,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2OC(C)C)=O)=C1)C3=C(OC(F)(F)F)C=CC=C3
Compound_3179,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2OC(C)C)=O)=C1)C3=C(OC(F)(F)F)C=CC=C3
Compound_3179,Potassium channel subfamily K member 9,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2OC(C)C)=O)=C1)C3=C(OC(F)(F)F)C=CC=C3
Compound_3179,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2OC(C)C)=O)=C1)C3=C(OC(F)(F)F)C=CC=C3
Compound_3198,Lysine-specific demethylase 4A,Oxidoreductases,ClC1=CC(C(C)(C)C)=C(C=C1)OCCOCCNCC=C.OC(C(O)=O)=O
Compound_3201,Dual specificity protein kinase CLK4,Kinase,FC(C(F)=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_3201,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,Kinase,FC(C(F)=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_3237,Dual specificity protein kinase CLK4,Kinase,ClC(N=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_3250,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=CC(OC)=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3250,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=CC(OC)=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3250,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=CC(OC)=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3285,Dopamine D3 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D4 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D4 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D3 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D3 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D2 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D4 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D2 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D2 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3285,Dopamine D2 receptor,GPCR,Clc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1
Compound_3307,Histone deacetylase 8,Hydrolases,O=C(NO)CC1=CC=C(OC)C=C1
Compound_3307,Histone deacetylase 8,Hydrolases,O=C(NO)CC1=CC=C(OC)C=C1
Compound_3310,Potassium channel subfamily K member 3,Ion_Channel,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC=C(Cl)C=C3
Compound_3310,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(NC1=CC=CC(NC(C2=CC=CC=C2)=O)=C1)C3=CC=C(Cl)C=C3
Compound_3314,Serotonin 6 (5-HT6) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCCCC3)=O
Compound_3314,Serotonin 7 (5-HT7) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCCCC3)=O
Compound_3321,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=C(OC)C=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3321,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=C(OC)C=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3321,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=C(OC)C=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3325,Apoptotic protease-activating factor 1,Other,O=C1C(N2CCOCC2)=C(NC3=CC=CC=C3)C(C4=C1C=CC=C4)=O
Compound_3347,Carbonic anhydrase IX,Lyases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3347,Carbonic anhydrase IX,Lyases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3347,Carbonic anhydrase IX,Lyases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3347,Cyclooxygenase-2,Oxidoreductases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3347,Carbonic anhydrase IX,Lyases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3347,Cyclooxygenase-2,Oxidoreductases,BrC1=CC=CC(C2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N)=O)C=C4)=C1
Compound_3358,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC(F)=CC=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3358,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC(F)=CC=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3358,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC(F)=CC=C4)=NC5=CC(C6=CC=CC=C6)=NN35
Compound_3372,P-glycoprotein 1,Transporter,O=C(C1=COC=C1)N(CC2)CCN2C3=CC(C4=CC=CO4)=NC5=CC(C6=CC=C(Cl)C=C6)=NN53
Compound_3436,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC(OC)=CC=C3)=NN2C(N4CCN(C(C5=CC=CO5)=O)CC4)=C1C
Compound_3475,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase I,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Cyclooxygenase-2,Oxidoreductases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase XII,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Carbonic anhydrase IX,Lyases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Geminin,Other,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3475,Cyclooxygenase-2,Oxidoreductases,COC(C=C1)=CC=C1[C@@H]2CC(C3=CC=CC=C3)=NN2C4=CC=C(S(=O)(N[Na])=O)C=C4
Compound_3485,Serotonin 6 (5-HT6) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 7 (5-HT7) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 7 (5-HT7) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 6 (5-HT6) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 7 (5-HT7) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 6 (5-HT6) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3485,Serotonin 6 (5-HT6) receptor,GPCR,O=S(C1=CC=CC2=CC=CC=C21)(NCCCCCCN3CCN(C)CC3)=O
Compound_3489,Heat shock 70 kDa protein 1,N/A,O=C(C1NC2=CC(C)=CC(C)=C2C3C1CC=C3)O
Compound_3490,Apoptotic protease-activating factor 1,Other,O=C(C=C1NS(C2=CC=CC=C2)(=O)=O)C3=CC=CC=C3C1=O
Compound_3499,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC=NC=C3)=NN2C(N4CCN(C(C5=COC=C5)=O)CC4)=C1
Compound_3513,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3513,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3513,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3542,Dihydroorotate dehydrogenase,Oxidoreductases,COC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C(O)=O)=C2
Compound_3542,Dihydroorotate dehydrogenase,Oxidoreductases,COC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C(O)=O)=C2
Compound_3542,Dihydroorotate dehydrogenase,Oxidoreductases,COC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C(O)=O)=C2
Compound_3591,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase I,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase XII,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Carbonic anhydrase IX,Lyases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Geminin,Other,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3591,Cyclooxygenase-2,Oxidoreductases,O=S(C(C=C1)=CC=C1N2C(C3=CC=C(OC)C=C3)CC(C4=CC=CC=C4)=N2)(N)=O
Compound_3593,Cytochrome P450 1B1,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Cytochrome P450 1B1,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Carbonic anhydrase XII,Lyases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Cytochrome P450 1B1,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Arachidonate 5-lipoxygenase,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Lysine-specific demethylase 4D-like,Other,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Xanthine dehydrogenase,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Cytochrome P450 19A1,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,ATP-dependent DNA helicase Q1,Hydrolases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Carbonic anhydrase XII,Lyases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Aldose reductase,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Aldose reductase,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Carbonic anhydrase VII,Lyases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Cytochrome P450 1B1,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Carbonic anhydrase II,Lyases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Death-associated protein kinase 1,Kinase,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Carbonic anhydrase VII,Lyases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,DNA polymerase eta,Transferases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3593,Xanthine dehydrogenase,Oxidoreductases,OC1=CC(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)=CC=C1O
Compound_3635,15-hydroxyprostaglandin dehydrogenase [NAD+],Oxidoreductases,O=C1NC(SCC2=CC=CC=C2Cl)=NC3=C1CCCC3
Compound_3651,Putative hexokinase HKDC1,Kinase,O=C1C=C(NC2=CC=CC=C2)C(C3=CC=CC=C31)=O
Compound_3680,Dual specificty protein kinase CLK1,Kinase,ClC(C=C1)=C(Cl)C=C1CNC2=NC(C3=CC=C(NN=C4)C4=C3)=CC=N2
Compound_3680,Dual specificty protein kinase CLK1,Kinase,ClC(C=C1)=C(Cl)C=C1CNC2=NC(C3=CC=C(NN=C4)C4=C3)=CC=N2
Compound_3680,Dual-specificity tyrosine-phosphorylation regulated kinase 1A,Kinase,ClC(C=C1)=C(Cl)C=C1CNC2=NC(C3=CC=C(NN=C4)C4=C3)=CC=N2
Compound_3689,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCC(C(C)(C)C)CC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_3689,DNA damage-inducible transcript 3 protein,Other,O=S(N1CCC(C(C)(C)C)CC1)(C2=CC=C(NC(C3=CC=C([N+]([O-])=O)O3)=O)C=C2)=O
Compound_3720,Sentrin-specific protease 8,Protease,O=C(NC1=NC2=CC=CC=C2S1)C3=CC=C(Br)C=C3
Compound_3720,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(NC1=NC2=CC=CC=C2S1)C3=CC=C(Br)C=C3
Compound_3720,Niemann-Pick C1 protein,Other,O=C(NC1=NC2=CC=CC=C2S1)C3=CC=C(Br)C=C3
Compound_3756,Kappa opioid receptor,GPCR,O=S(C1=CC=C(Br)C=C1)(NCC2=CC=C(C(NCCN(CC)CC3=CC=CC=C3)=O)C=C2)=O
Compound_3769,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3769,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3769,Transitional endoplasmic reticulum ATPase,Transporter,NC1=NC2=C(C=CC=C2)N1C3=NC(CCCC4)=C4C(NCC5=CC=CC=C5)=N3
Compound_3787,Phosphoethanolamine/phosphocholine phosphatase,Hydrolases,O=C1N(C2=CC=CC=C2)SC3=C1C=C(Br)C=C3
Compound_3800,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=CC=CS1)NC2=NC(CCCC3)=C3S2
Compound_3800,Nuclear factor NF-kappa-B p65 subunit,Other,O=C(C1=CC=CS1)NC2=NC(CCCC3)=C3S2
Compound_3800,Nuclear factor NF-kappa-B p100/p49 subunits,Other,O=C(C1=CC=CS1)NC2=NC(CCCC3)=C3S2
Compound_3805,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3805,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3812,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,Oxidoreductases,O=C(N(CC1=CC=C(OC)C=C1)C(N2)=O)C3=C2C=C(C(NCCCN4CCCCC4)=O)C=C3
Compound_3812,Serotonin 3a (5-HT3a) receptor,Ion_Channel,O=C(N(CC1=CC=C(OC)C=C1)C(N2)=O)C3=C2C=C(C(NCCCN4CCCCC4)=O)C=C3
Compound_3841,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 9,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3841,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=CC=C3OC)=O)=CC=C2)=O)=C1
Compound_3851,Dual specificity protein kinase CLK4,Kinase,FC(N=C1)=CC=C1CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2
Compound_3855,NAD-dependent deacetylase sirtuin 2,Hydrolases,NC(C1=CC=CC=C1NC2=CC=CC=C2)=O
Compound_3857,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_3857,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_3857,Potassium channel subfamily K member 3,Ion_Channel,CC1=CC=CC(C(NC2=CC(NC(C3=CC=NC=C3)=O)=CC=C2)=O)=C1
Compound_3861,Kappa opioid receptor,GPCR,BrC(C=C1)=CC=C1CSC2=NN=C(C3=NC=CC=C3)N2CC4=CC=CS4
Compound_3900,Endoplasmic reticulum-associated amyloid beta-peptide-binding protein,Oxidoreductases,C12=CC=CC=C1N(CC3=NN=C4SC(C5=CC=CC=C5)=NN43)C=N2
Compound_3900,Serine/threonine-protein kinase PLK1,Kinase,C12=CC=CC=C1N(CC3=NN=C4SC(C5=CC=CC=C5)=NN43)C=N2
Compound_3902,Cytochrome P450 2D6,Oxidoreductases,O=S(C1=CC=CC2=C(Cl)C=CC=C21)(NCCCCC[NH3+])=O.[Cl-]
Compound_3902,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=CC=CC2=C(Cl)C=CC=C21)(NCCCCC[NH3+])=O.[Cl-]
Compound_3902,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=CC=CC2=C(Cl)C=CC=C21)(NCCCCC[NH3+])=O.[Cl-]
Compound_3902,Cytochrome P450 2C19,Oxidoreductases,O=S(C1=CC=CC2=C(Cl)C=CC=C21)(NCCCCC[NH3+])=O.[Cl-]
Compound_3908,Dual specificity protein kinase CLK4,Kinase,ClC1=CN=CC(CNC2=NC(C3=CC=C(OCO4)C4=C3)=NC=C2)=C1
Compound_3957,Mannose-6-phosphate isomerase,Isomerases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3957,Histone acetyltransferase PCAF,Transferases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3957,Glucose-6-phosphate 1-dehydrogenase,Oxidoreductases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3957,Macrophage migration inhibitory factor,Isomerases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3957,Macrophage migration inhibitory factor,Isomerases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3957,Histone acetyltransferase PCAF,Transferases,O=C1N(C2=CC(OC)=CC=C2)SC3=C1C=CC=C3
Compound_3967,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC=CC(OC)=C3)=NN2C(N4CCN(C(C5=COC=C5)=O)CC4)=C1
Compound_3967,P-glycoprotein 1,Transporter,CC1=NC2=CC(C3=CC=CC(OC)=C3)=NN2C(N4CCN(C(C5=COC=C5)=O)CC4)=C1
Compound_3976,Muscarinic acetylcholine receptor M5,GPCR,O=C1N(CC2=CC=C(C(F)(F)F)C=C2)C3=CC=C(OC)C=C3C1=O
Compound_3976,Muscarinic acetylcholine receptor M5,GPCR,O=C1N(CC2=CC=C(C(F)(F)F)C=C2)C3=CC=C(OC)C=C3C1=O
